ID,Name *,Reference #*,Price*,Friendly-url*,Ean-13,UPC,Active(0/1),visibility(both/catalog/search/none),Condition(new/used/refurbished),Available for order (0 = No /1 = Yes),Show Price,Available online only (0 = No/ 1 = Yes),Short Description,Description,Tags(xâ€”y--z..),Wholesale Price,Unit price,Special Price,special price start date,Special Price End Date,On sale (0/1),Meta Title,Meta Description,Image Url(xâ€”y--z..),Quantity,Out of stock,Minimal Quantity,Product available date,Text when in stock,Text when backorder allowed,Category Id(x--y--z..),Default Category id,Width,height,depth,weight,Additional shipping cost,feature(Name:Value)
0,Extendable Metal Shoe Horn,F1520284,8.25,extendable-metal-shoe-horn,4029811313679,,1,both,new,1,1,0,"<p>Stop suffering every time you put on your shoes thanks to the <strong>extendable metal shoe horn</strong>! It's the simplest, quickest and most comfortable way to put on some shoes without effort and you won't need to bend down. Metal shoe horn (Approx. 3.5 x 32 x 1.5 cm). Extendable (from 32 up to 80 cm). With rubber grip. Perfect for the elderly or people with mobility problems. Free point-of-sale display when buying 25 units.</p>","<p>Stop suffering every time you put on your shoes thanks to the <strong>extendable metal shoe horn</strong>! It's the simplest, quickest and most comfortable way to put on some shoes without effort and you won't need to bend down. Metal shoe horn (Approx. 3.5 x 32 x 1.5 cm). Extendable (from 32 up to 80 cm). With rubber grip. Perfect for the elderly or people with mobility problems. Free point-of-sale display when buying 25 units.</p>",Extendable Metal Shoe Horn,1.82,0,7.42,2020-02-02,2022-02-02,1,Extendable Metal Shoe Horn,Extendable Metal Shoe Horn,https://cdnbigbuy.com/images/calzador_extendible_metalico.jpg;https://cdnbigbuy.com/images/F1520284_79148.jpg;https://cdnbigbuy.com/images/calzador_metalico_extensible.jpg,0,0,1,2016-05-05,In Stock,Current Supply. Ordering Avilable,4,2582,3.3,32,1.3,0.072,,
0,Tie Shoehorn,V0300267,8.6,tie-shoehorn,4029811349418,,1,both,new,1,1,0,"<p>Put your shoes on comfortably with help of the unusual <strong>Tie shoehorn</strong>! A shoehorn with a fun tie-shaped design.</p>
<ul>
<li>Made of plastic</li>
<li>Approx. dimensions: 11 x 36 x 1.5 cm</li>
</ul>","<p>Put your shoes on comfortably with help of the unusual <strong>Tie shoehorn</strong>! A shoehorn with a fun tie-shaped design.</p>
<ul>
<li>Made of plastic</li>
<li>Approx. dimensions: 11 x 36 x 1.5 cm</li>
</ul>",Tie Shoehorn,2.2,0,7.74,2020-02-02,2022-02-02,1,Tie Shoehorn,Tie Shoehorn,https://cdnbigbuy.com/images/V0300267_125785.jpg;https://cdnbigbuy.com/images/V0300267_125787.jpg;https://cdnbigbuy.com/images/V0300267_125786.jpg,0,0,1,2016-05-05,In Stock,Current Supply. Ordering Avilable,4,2582,36,11.5,2,0.059,,
0,InnovaGoods Pocket Rain Cover for Feet (Pack of 2),V0100599,19.99,innovagoods-pocket-rain-cover-for-feet-pack-of-2,0,,1,both,new,1,1,0,"<p>Protect your footwear and pants on rainy days with the help of the<strong> InnovaGoods <strong>pocket rain cover for feet</strong> (pack of 2)</strong>! Thanks to their space-saving pocket design, you can put them in your pocket and use them whenever necessary. This practical invention is very useful to cover your shoes and the cuffs of your trousers on rainy or snowy days, preventing them from getting wet and dirty with water, snow and mud.</p>
<ul>
<li>Made out of PVC</li>
<li>Suitable for sneakers, shoes, boots, etc.</li>
<li>Reusable (easy cleaning with water)</li>
<li>Non-slip sole</li>
<li>Zip fastener to facilitate proper use</li>
<li>Elastic rubber with a button on the top rim for a perfect fit</li>
<li>Includes 2 overshoes, one for each foot</li>
<li>Approx. height: 37 cm</li>
<li>Approx. lenght of the sole: 28 cm (S/M) / 31 cm (L/XL)</li>
<li>Approx. size equivalences: S/M (36-39) and L/XL (40-43)</li>
<li>Pocket design (requires only little space when folded and put in your pocket, backpack, etc.)</li>
<li>Packaging in 24 languages (English, French, Spanish, German, Italian, Portuguese, Dutch, Polish, Hungarian, Romanian, Danish, Swedish, Finnish, Lithuanian, Norwegian, Slovenian, Greek, Czech, Bulgarian, Croatian, Slovakian, Estonian, Russian, Latvian)</li>
</ul>","<p>Protect your footwear and pants on rainy days with the help of the<strong> InnovaGoods <strong>pocket rain cover for feet</strong> (pack of 2)</strong>! Thanks to their space-saving pocket design, you can put them in your pocket and use them whenever necessary. This practical invention is very useful to cover your shoes and the cuffs of your trousers on rainy or snowy days, preventing them from getting wet and dirty with water, snow and mud.</p>
<ul>
<li>Made out of PVC</li>
<li>Suitable for sneakers, shoes, boots, etc.</li>
<li>Reusable (easy cleaning with water)</li>
<li>Non-slip sole</li>
<li>Zip fastener to facilitate proper use</li>
<li>Elastic rubber with a button on the top rim for a perfect fit</li>
<li>Includes 2 overshoes, one for each foot</li>
<li>Approx. height: 37 cm</li>
<li>Approx. lenght of the sole: 28 cm (S/M) / 31 cm (L/XL)</li>
<li>Approx. size equivalences: S/M (36-39) and L/XL (40-43)</li>
<li>Pocket design (requires only little space when folded and put in your pocket, backpack, etc.)</li>
<li>Packaging in 24 languages (English, French, Spanish, German, Italian, Portuguese, Dutch, Polish, Hungarian, Romanian, Danish, Swedish, Finnish, Lithuanian, Norwegian, Slovenian, Greek, Czech, Bulgarian, Croatian, Slovakian, Estonian, Russian, Latvian)</li>
</ul>",InnovaGoods Pocket Rain Cover for Feet (Pack of 2),3.55,0,17.99,2020-02-02,2022-02-02,1,InnovaGoods Pocket Rain Cover for Feet (Pack of 2),InnovaGoods Pocket Rain Cover for Feet (Pack of 2),https://cdnbigbuy.com/images/V0100599_214051.jpg;https://cdnbigbuy.com/images/V0100599_221230.jpg;https://cdnbigbuy.com/images/V0100599_214431.jpg;https://cdnbigbuy.com/images/V0100599_214055.jpg;https://cdnbigbuy.com/images/V0100599_214054.jpg;https://cdnbigbuy.com/images/V0100599_214053.jpg;https://cdnbigbuy.com/images/V0100599_214052.jpg;https://cdnbigbuy.com/images/V0100599_214050.jpg,2822,0,1,2016-05-05,In Stock,Current Supply. Ordering Avilable,4,2582,15.2,19,5,0.31,,
0,"Laces 144564 (110 x 0,8 cm)",S1406061,0.72,laces-144564_115626,0,,1,both,new,1,1,0,"If you are thinking of renewing your wardrobe, buy <b>Laces 144564 (110 x 0,8 cm)</b> and other <b>BigBuy Tech products</b>! The best quality at the best price is now within reach!<ul><li>Gender: Unisex</li><li>Material: Polyester</li><li>Approx. dimensions: 110 x 0,8 cm</li></ul>","If you are thinking of renewing your wardrobe, buy <b>Laces 144564 (110 x 0,8 cm)</b> and other <b>BigBuy Tech products</b>! The best quality at the best price is now within reach!<ul><li>Gender: Unisex</li><li>Material: Polyester</li><li>Approx. dimensions: 110 x 0,8 cm</li></ul>","Laces 144564 (110 x 0,8 cm)",0.25,0,0.65,2020-02-02,2022-02-02,1,"Laces 144564 (110 x 0,8 cm)","Laces 144564 (110 x 0,8 cm)",https://cdnbigbuy.com/images/4899888217268_00_P0.jpg;https://cdnbigbuy.com/images/4899888217299_1_P0.jpg;https://cdnbigbuy.com/images/4899888217282_1_P0.jpg;https://cdnbigbuy.com/images/4899888217275_1_P0.jpg;https://cdnbigbuy.com/images/4899888217251_1_P0.jpg;https://cdnbigbuy.com/images/4899888217244_1_P0.jpg,16300,0,1,2016-05-05,In Stock,Current Supply. Ordering Avilable,4,2582,10,10,10,0,,
